name,temp,humidity,cloudiness,wind_speed,lat,long
harper,70.34,83,75,3.36,30.3,-99.24
venado tuerto,30.99,94,0,3.0,-33.75,-61.97
hovin,50.68,100,75,6.93,63.11,10.22
sungairaya,82.85,80,19,13.96,0.7,108.9
tura,67.37,77,52,9.17,64.27,100.22
murray bridge,50.25,70,100,7.0,-35.12,139.28
abalak,95.81,31,36,17.11,15.46,6.28
bernalda,87.85,52,5,5.82,40.41,16.69
mana,94.19,39,7,13.65,13.03,5.27
kiruna,44.6,93,90,3.36,67.86,20.23
saint-pierre,68.67,68,75,5.82,48.95,4.24
gat,78.8,74,36,5.82,14.69,-16.54
havre,54.19,82,1,4.7,48.55,-109.68
priyutovo,66.83,65,49,7.76,53.89,53.93
alyangula,75.2,78,15,10.29,-13.85,136.42
grand bank,50.0,100,75,20.8,47.1,-55.77
havre-saint-pierre,51.8,93,20,8.05,50.23,-63.6
turukhansk,76.73,44,36,10.54,65.8,87.96
simoes,70.97,75,83,6.33,-7.6,-40.82
los algarrobos,67.55,92,36,0.85,-3.25,-79.94
goderich,52.0,89,86,3.96,43.74,-81.71
cumra,68.0,32,0,18.34,37.57,32.77
ancud,41.0,93,90,11.41,-41.87,-73.83
kosonsoy,96.8,18,20,4.7,41.25,71.55
lucea,80.6,69,20,8.05,18.44,-78.17
ribeira grande,69.8,94,75,9.17,38.52,-28.7
zeya,62.69,86,97,2.93,53.74,127.27
sao joao da barra,69.8,94,0,4.7,-21.64,-41.05
nemuro,57.2,82,75,8.05,43.32,145.57
robertsport,77.45,89,100,5.28,6.75,-11.37
khani,62.6,93,90,10.29,41.96,42.96
butaritari,83.93,72,100,7.99,3.07,172.79
vestmanna,46.4,75,75,13.87,62.16,-7.17
new norfolk,56.84,47,20,21.92,-42.78,147.06
kapaa,76.62,83,90,12.75,22.08,-159.32
rikitea,68.99,68,100,16.17,-23.12,-134.97
talnakh,64.4,48,0,11.18,69.49,88.39
srednekolymsk,67.01,31,10,8.19,67.46,153.71
kang,56.39,46,0,16.46,-23.67,22.79
srandakan,76.91,78,0,13.67,-7.94,110.25
kavieng,84.47,68,100,7.29,-2.57,150.8
graham,72.39,100,1,6.17,33.11,-98.59
lata,50.09,65,99,6.31,30.78,78.62
rantauprapat,77.45,89,96,2.01,2.1,99.83
fortuna,54.66,87,90,5.82,40.6,-124.16
rio verde de mato grosso,70.07,60,0,6.04,-18.92,-54.84
corner brook,55.42,93,90,10.29,48.95,-57.95
puerto narino,73.4,100,40,1.59,-3.77,-70.38
jamestown,48.65,58,99,7.61,-33.21,138.6
kedougou,78.35,87,87,4.97,12.56,-12.19
phangnga,89.98,62,20,11.41,8.45,98.53
san andres,76.55,94,100,11.56,13.32,122.68
leshukonskoye,67.01,29,91,1.01,64.9,45.76
lahaina,73.24,100,90,6.93,20.87,-156.68
guerrero negro,68.99,72,0,20.67,27.97,-114.04
freeport,83.57,74,100,9.82,26.54,-78.7
waipawa,44.01,84,99,2.39,-39.94,176.59
college,60.33,93,90,3.27,64.86,-147.8
grand gaube,75.11,60,40,12.75,-20.01,57.66
sola,83.75,29,0,10.27,-3.17,33.8
cabo san lucas,72.84,87,0,5.59,22.89,-109.91
lompoc,54.5,93,90,14.85,34.64,-120.46
muswellbrook,48.99,69,95,1.54,-32.27,150.89
rafaela,37.4,70,0,3.78,-31.25,-61.49
tautira,73.17,78,75,6.93,-17.73,-149.15
mayumba,71.87,88,100,11.21,-3.44,10.65
marawi,78.01,88,99,1.99,8.0,124.29
saint-augustin,60.3,93,20,2.24,45.63,-73.98
hay river,48.2,66,75,13.87,60.82,-115.79
north bend,56.61,93,90,9.19,43.41,-124.22
ust-shonosha,63.77,38,66,3.78,61.15,41.34
albany,56.7,82,20,4.07,42.65,-73.75
noumea,66.2,93,0,9.69,-22.28,166.46
mandera,85.19,49,93,18.86,3.94,41.86
phuket,90.09,62,20,11.41,7.89,98.4
sretensk,72.41,52,45,19.89,52.24,117.7
nueva concepcion,77.99,85,55,7.05,14.2,-91.3
norman wells,46.4,75,20,5.82,65.28,-126.83
beidao,78.53,41,65,13.24,34.57,105.89
ixtapa,77.45,73,75,5.82,20.71,-105.21
hithadhoo,84.47,64,87,1.9,-0.6,73.08
oktyabrskiy,70.93,56,0,8.95,55.61,37.97
urengoy,75.83,32,100,7.74,65.96,78.37
ambilobe,85.37,41,60,9.62,-13.19,49.05
bredasdorp,55.96,82,75,11.41,-34.53,20.04
hamilton,57.07,93,5,4.7,43.26,-79.87
prince rupert,57.2,93,90,6.93,54.32,-130.32
geraldton,57.2,93,40,5.82,49.72,-86.95
bindki,108.59,22,59,9.19,26.04,80.58
rio gallegos,35.6,80,75,12.75,-51.62,-69.22
garlasco,89.19,45,0,4.7,45.2,8.92
tual,77.81,86,100,20.11,-5.67,132.75
the pas,57.2,76,1,9.17,53.82,-101.24
ketchikan,58.96,87,90,3.36,55.34,-131.65
thompson,53.6,93,20,6.93,55.74,-97.86
kayerkan,64.4,48,0,11.18,69.35,87.76
effingham,70.86,94,1,4.9,39.12,-88.54
okhotsk,55.85,67,99,12.46,59.36,143.24
santo antonio do monte,57.29,75,0,1.52,-20.09,-45.29
adre,90.59,40,0,11.21,13.47,22.2
bansi,106.79,27,55,6.62,27.18,82.93
rutul,73.4,46,75,6.93,41.53,47.42
constitucion,60.01,70,0,5.01,23.99,-104.67
grand forks,60.73,87,1,4.7,47.91,-97.06
namatanai,79.25,82,100,8.3,-3.66,152.44
sao filipe,73.85,83,26,24.02,14.9,-24.5
fairbanks,59.72,93,90,3.27,64.84,-147.72
nhulunbuy,73.4,83,2,8.05,-12.18,136.78
puerto ayacucho,72.95,95,100,11.95,5.66,-67.63
kununurra,77.0,44,25,4.7,-15.77,128.74
cap malheureux,75.11,60,40,12.75,-19.98,57.61
el reno,71.58,94,1,6.93,35.53,-97.96
tigil,51.17,83,97,5.26,57.8,158.67
te anau,47.39,82,0,6.8,-45.41,167.72
souillac,75.4,61,75,3.36,45.6,-0.6
henties bay,60.01,78,0,5.99,-22.12,14.28
portales,66.9,63,1,6.93,34.19,-103.33
qiongshan,89.6,79,75,2.24,20.01,110.35
makakilo city,75.02,100,75,7.87,21.35,-158.09
inuvik,48.2,70,40,6.93,68.36,-133.71
esperance,55.4,82,90,5.82,-33.86,121.89
dikson,38.93,77,97,1.43,73.51,80.55
taua,70.25,89,100,1.74,-3.62,-49.62
mirabad,95.09,8,0,17.92,28.27,61.33
baghdad,104.0,13,0,12.75,33.3,44.38
biak,64.13,97,100,4.25,-0.91,122.88
oussouye,78.71,82,90,5.26,12.49,-16.54
adrar,102.2,11,0,16.11,27.87,-0.29
tiksi,46.49,69,74,17.0,71.64,128.87
margate,56.84,47,20,21.92,-43.03,147.26
dese,87.71,66,0,5.82,45.53,12.3
marsabit,90.95,34,0,14.9,2.34,37.99
atar,91.4,26,21,11.41,20.52,-13.05
jiwani,87.53,77,0,11.07,25.05,61.74
poum,73.4,60,0,6.93,41.28,20.71
manawar,93.83,48,36,9.57,22.23,75.09
mahebourg,75.09,60,40,12.75,-20.41,57.7
roros,53.6,81,75,11.41,62.57,11.38
iaciara,62.69,68,0,4.16,-14.1,-46.63
aksha,74.57,37,83,3.96,50.28,113.29
singaraja,81.23,61,57,1.7,-8.11,115.08
yazman,85.37,15,0,8.79,36.74,38.46
zyryanka,71.69,25,0,5.35,65.73,150.89
hasaki,71.55,100,75,4.7,35.73,140.83
dong hoi,77.81,94,100,3.15,17.48,106.6
vila franca do campo,68.0,88,20,6.93,37.72,-25.43
ilulissat,39.2,86,75,4.7,69.22,-51.1
mecca,106.79,15,0,17.85,21.43,39.83
doha,110.68,18,0,18.34,25.29,51.53
pevek,31.55,97,100,10.36,69.7,170.27
kieta,81.77,73,100,2.1,-6.22,155.63
itaberai,61.25,70,1,4.74,-16.02,-49.81
illora,80.87,42,0,5.48,37.29,-3.88
el carmen,47.97,87,90,4.7,-24.39,-65.26
bay roberts,50.09,100,90,3.36,47.58,-53.28
beloha,86.63,26,0,6.02,-25.17,45.06
tonantins,70.25,99,66,1.86,-2.86,-67.77
ikom,81.77,77,100,4.03,5.96,8.72
carnarvon,43.07,66,100,21.12,-30.97,22.13
shelburne,53.11,82,20,6.93,44.08,-80.2
aklavik,48.2,70,40,6.93,68.22,-135.01
laguna,77.0,100,75,1.3,16.17,-88.94
watertown,65.84,93,90,6.93,44.9,-97.12
pontianak,83.57,80,0,18.3,-0.02,109.34
terney,50.45,93,100,2.68,45.05,136.61
sao luis,64.67,97,75,2.01,4.43,-61.14
teya,75.11,94,90,5.82,21.05,-89.07
chabahar,99.95,36,0,12.95,25.29,60.65
port elizabeth,62.26,68,1,4.0,39.31,-74.98
